Changed At,Unique Key,SKU,Variant ID,Product,Variant,Old Price,New Price,Currency,URL
2026-09-05 06:51:09,VARIANT:41459897139336,92354693,41459897139336,Match Diamond Ring,Default Title,5800,4700,USD,https://jacobandco.shop/products/match-ring-white-diamonds-pave
2026-09-05 06:51:09,VARIANT:41459931775112,92354687,41459931775112,Match Diamond Ring,Default Title,5800,4700,USD,https://jacobandco.shop/products/match-ring-white-gold-full-pave
2026-09-05 06:51:09,VARIANT:41889479098504,92252415,41889479098504,Match Ruby Diamond Bangle,Default Title,19800,14500,USD,https://jacobandco.shop/products/match-ruby-diamond-bangle
2026-09-05 06:51:09,VARIANT:41453663584392,92355336,41453663584392,Match Ruby Diamond Earrings,Default Title,21000,17000,USD,https://jacobandco.shop/products/match-earrings-ruby-pave-head
2026-09-05 06:51:09,VARIANT:41460042596488,92252182,41460042596488,Match Ruby Diamond Necklace,5cm,9900,7500,USD,https://jacobandco.shop/products/match-necklace-rose-gold-ruby-pave
2026-09-05 06:51:09,VARIANT:41460042629256,92252398,41460042629256,Match Ruby Diamond Necklace,7cm,11600,7500,USD,https://jacobandco.shop/products/match-necklace-rose-gold-ruby-pave
2026-09-05 06:51:09,VARIANT:41640507244680,92354683,41640507244680,Match Ruby Diamond Ring,Default Title,5800,4300,USD,https://jacobandco.shop/products/match-ring
2026-09-05 06:51:09,VARIANT:41640450949256,92253330,41640450949256,Match Sapphire Diamond Bangle,Default Title,19800,14500,USD,https://jacobandco.shop/products/match-bangle-bracelet
2026-09-05 06:51:09,VARIANT:41431356768392,92355337,41431356768392,Match Sapphire Diamond Earrings,Default Title,21000,17000,USD,https://jacobandco.shop/products/match-earrings
2026-09-05 06:51:09,VARIANT:41460013596808,92253345,41460013596808,Match Sapphire Diamond Necklace,5cm,9900,7500,USD,https://jacobandco.shop/products/match-necklace-white-gold-blue-sapphires-pave
2026-09-05 06:51:09,VARIANT:41460013629576,92252399,41460013629576,Match Sapphire Diamond Necklace,7cm,11600,7500,USD,https://jacobandco.shop/products/match-necklace-white-gold-blue-sapphires-pave
2026-09-05 06:51:09,VARIANT:42304848855176,92457621,42304848855176,Office Supplies Bracelet,22,14900,9900,USD,https://jacobandco.shop/products/office-supplies-bracelet-1
2026-09-05 06:51:09,VARIANT:42304766247048,92354926,42304766247048,Office Supplies Bracelet,22cm,14900,9900,USD,https://jacobandco.shop/products/office-supplies-bracelet-3
2026-09-05 06:51:09,VARIANT:42304766574728,92355978,42304766574728,Office Supplies Diamond Bracelet,22cm,48700,44000,USD,https://jacobandco.shop/products/office-supplies-diamond-bracelet-2
2026-09-05 06:51:09,VARIANT:42304767131784,92255979,42304767131784,Office Supplies Diamond Bracelet,22cm,48700,44000,USD,https://jacobandco.shop/products/office-supplies-diamond-bracelet
