Collection,Variant,Item Number,Price,Currency,Availability,URL,Last Seen
Astronomia Metaverso,AS312.21.AA.UA.ABALA,AS312.21.AA.UA.ABALA,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-metaverso/jupiter,2026-08-13 10:00:11
Astronomia Metaverso,AS312.30.AA.UA.ABALA,AS312.30.AA.UA.ABALA,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-metaverso/mercury,2026-08-13 10:00:11
Astronomia Metaverso,AS312.30.AA.UB.A,AS312.30.AA.UB.A,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-metaverso/venus,2026-08-13 10:00:11
Astronomia Metaverso,AS312.40.AA.UA.A,AS312.40.AA.UA.A,528000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-metaverso/earth,2026-08-13 10:00:11
Astronomia Regulator,AR200.20.AB.AA.A,AR200.20.AB.AA.A,244000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/titanium-red,2026-08-13 10:00:11
Astronomia Regulator,AR200.20.AB.AB.A,AR200.20.AB.AB.A,244000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/titanium-green,2026-08-13 10:00:11
Astronomia Regulator,AR200.20.AB.AC.A,AR200.20.AB.AC.A,244000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/titanium-blue,2026-08-13 10:00:11
Astronomia Regulator,AR200.30.AA.AA.A,AR200.30.AA.AA.A,324000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/white-gold-blue,2026-08-13 10:00:11
Astronomia Regulator,AR200.30.AA.AB.A,AR200.30.AA.AB.A,324000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/white-gold-red,2026-08-13 10:00:11
Astronomia Regulator,AR200.30.AA.AC.A,AR200.30.AA.AC.A,324000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/white-gold-green,2026-08-13 10:00:11
Astronomia Regulator,AR200.40.AA.AA.A,AR200.40.AA.AA.A,324000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/blue,2026-08-13 10:00:11
Astronomia Regulator,AR200.40.AA.AB.A,AR200.40.AA.AB.A,324000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/red,2026-08-13 10:00:11
Astronomia Regulator,AR200.40.AA.AC.A,AR200.40.AA.AC.A,324000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-regulator/green,2026-08-13 10:00:11
