Unique Key,Product ID,Variant ID,SKU,Product,Variant,Product Type,Vendor,Collections,Price,Compare At Price,Currency,Available,Option 1,Option 2,Option 3,Handle,URL,Last Seen
VARIANT:42304783089800,6830269825160,42304783089800,92150010,Cuban Link Bracelet,21cm,,"Hand crafted in 18k rose gold and set with 1,502 high-quality round brilliant cut diamonds",Cuban Link,65500,,USD,YES,21cm,,,cuban-link-bracelet-6,https://jacobandco.shop/products/cuban-link-bracelet-6,2026-08-19 05:22:54
VARIANT:42080272744584,7958049128584,42080272744584,92457340,Cuban Link Necklace,Default Title,,"Hand crafted in 18k rose gold and set with 1,481 high-quality round brilliant cut pink sapphires",Cuban Link,63800,,USD,YES,Default Title,,,cuban-link-necklace,https://jacobandco.shop/products/cuban-link-necklace,2026-08-19 05:22:54
VARIANT:40123532378248,6830272544904,40123532378248,91638244,Espada Bangle,Default Title,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,20500,,USD,YES,Default Title,,,espada-bracelet-1,https://jacobandco.shop/products/espada-bracelet-1,2026-08-19 05:22:54
VARIANT:40216440373384,6830276247688,40216440373384,91638243-3,Espada Ring,3,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,3,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40216446271624,6834371559560,40216446271624,91637478-3,Espada Ring,3,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,3,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40216440406152,6830276247688,40216440406152,91638243-4,Espada Ring,4,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,4,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40216446304392,6834371559560,40216446304392,91637479-4,Espada Ring,4,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,4,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40331205804168,6830276247688,40331205804168,91638243-4.5,Espada Ring,4.5,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,4.5,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40331242242184,6834371559560,40331242242184,91637478-4.5,Espada Ring,4.5,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,4.5,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40216440438920,6830276247688,40216440438920,91638243-5,Espada Ring,5,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,5,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40216446337160,6834371559560,40216446337160,91637480-5,Espada Ring,5,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,5,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40331205902472,6830276247688,40331205902472,91638243-5.5,Espada Ring,5.5,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,5.5,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40331242635400,6834371559560,40331242635400,91637478-5.5,Espada Ring,5.5,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,5.5,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40216440471688,6830276247688,40216440471688,91638243-6,Espada Ring,6,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,6,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40216446369928,6834371559560,40216446369928,91637481-6,Espada Ring,6,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,6,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40317889872008,6830276247688,40317889872008,91638243-6.5,Espada Ring,6.5,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,6.5,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40331242963080,6834371559560,40331242963080,91637478-6.5,Espada Ring,6.5,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,6.5,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40216440504456,6830276247688,40216440504456,91638243-7,Espada Ring,7,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,7,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40216446402696,6834371559560,40216446402696,91637482-7,Espada Ring,7,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,7,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40331206393992,6830276247688,40331206393992,91638243-7.5,Espada Ring,7.5,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,7.5,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40331243061384,6834371559560,40331243061384,91637478-7.5,Espada Ring,7.5,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,7.5,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40216440537224,6830276247688,40216440537224,91638243-8,Espada Ring,8,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,8,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40216446435464,6834371559560,40216446435464,91637483-8,Espada Ring,8,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,8,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:40331206721672,6830276247688,40331206721672,91638243-8.5,Espada Ring,8.5,,Hand crafted in 18k rose gold and set with 4 high-quality round brilliant cut diamonds,Espada,5900,,USD,YES,8.5,,,espada-ring,https://jacobandco.shop/products/espada-ring,2026-08-19 05:22:54
VARIANT:40331243421832,6834371559560,40331243421832,91637478-8.5,Espada Ring,8.5,,Hand crafted in 18k white gold and set with 155 high-quality round brilliant cut diamonds,Espada,14200,,USD,YES,8.5,,,espada-ring-1,https://jacobandco.shop/products/espada-ring-1,2026-08-19 05:22:54
VARIANT:41236021772424,6920624078984,41236021772424,92355919,Estribo Bangle,15,,Hand crafted in 18k white gold and set with high-quality round brilliant cut diamonds,Estribo,23000,,USD,YES,15,,,estribo-bangle-4,https://jacobandco.shop/products/estribo-bangle-4,2026-08-19 05:22:54
VARIANT:41444734369928,6826032365704,41444734369928,92354718,Estribo Bangle,15,,Hand crafted in 18k rose gold,Estribo,14000,,USD,YES,15,,,estribo-bracelet-2,https://jacobandco.shop/products/estribo-bracelet-2,2026-08-19 05:22:54
